rsize, wsize, read speed (MB/s), write speed (MB/s), read time (s), write time (s)
8192, 8192, 56.4, 50.2, 19, 22
8192, 16384, 91.6, 79.8, 12, 14
8192, 32768, 69.6, 79.5, 16, 13
8192, 65536, 67.1, 54.8, 16, 21
16384, 8192, 78.4, 87.2, 14, 13
16384, 16384, 89.6, 85.5, 12, 13
16384, 32768, 52.7, 48.5, 21, 22
16384, 65536, 94.2, 67.3, 11, 18
32768, 8192, 55.3, 69.0, 20, 16
32768, 16384, 84.2, 61.0, 13, 18
32768, 32768, 95.7, 64.5, 12, 17
32768, 65536, 57.2, 86.6, 19, 13
65536, 8192, 80.2, 47.1, 14, 23
65536, 16384, 80.0, 84.4, 14, 13
65536, 32768, 60.5, 80.1, 18, 14
65536, 65536, 69.7, 71.6, 15, 16
